20,5
1,1,17
1,2,19
1,3,17
1,4,2
1,5,10
2,1,12
2,2,1
2,3,1
2,4,19
2,5,20
3,1,7
3,2,4
3,3,5
3,4,7
3,5,10
4,1,12
4,2,7
4,3,19
4,4,16
4,5,6
5,1,18
5,2,11
5,3,9
5,4,7
5,5,18
6,1,16
6,2,14
6,3,2
6,4,19
6,5,8
7,1,12
7,2,3
7,3,10
7,4,17
7,5,17
8,1,5
8,2,2
8,3,20
8,4,17
8,5,7
9,1,16
9,2,6
9,3,2
9,4,12
9,5,13
10,1,12
10,2,10
10,3,2
10,4,4
10,5,3
11,1,14
11,2,9
11,3,3
11,4,3
11,5,3
12,1,6
12,2,11
12,3,10
12,4,5
12,5,15
13,1,19
13,2,19
13,3,2
13,4,12
13,5,8
14,1,4
14,2,15
14,3,9
14,4,10
14,5,5
15,1,11
15,2,7
15,3,3
15,4,9
15,5,11
16,1,13
16,2,10
16,3,17
16,4,14
16,5,6
17,1,7
17,2,13
17,3,19
17,4,17
17,5,14
18,1,4
18,2,20
18,3,7
18,4,15
18,5,12
19,1,14
19,2,12
19,3,15
19,4,2
19,5,9
20,1,17
20,2,4
20,3,11
20,4,5
20,5,9
